,Node,Topic,Size,Msg Received,Msg Late,Msg Too Late,Msg Lost,Mean,Std,Min,Max,Freq,Throughput,Pub/Sub Type,Architecture,RMW,Test Duration,CPU Stress,IPC
0,follower,attractive_vector,24,600,0,0,0,253,117,31,581,10,0.234374,Subscription,simple,fast,60,low,0
1,follower,repulsive_vector,24,600,0,0,0,280,97,76,556,10,0.234375,Subscription,simple,fast,60,low,0
2,obstacle_detector,scan,8728,600,0,0,0,255,89,79,578,10,85.2348,Subscription,simple,fast,60,low,0
3,object_tracker,out_detection_2d,2928,600,0,0,0,283,94,94,566,10,28.5938,Subscription,simple,fast,60,low,0
4,ai_detector,camera_info,376,1500,0,0,0,286,92,62,699,25,9.17978,Subscription,simple,fast,60,low,0
5,ai_detector,rgb_image,921600,1500,0,0,0,461,121,222,1859,25,22500.8,Subscription,simple,fast,60,low,0
6,base_controller,cmd_vel,48,600,0,0,0,314,108,92,643,10,0.46875,Subscription,simple,fast,60,low,0
7,follower,cmd_vel,48,0,0,0,0,50,27,18,151,10,0.468749,Publisher,simple,fast,60,low,0
8,obstacle_detector,repulsive_vector,24,0,0,0,0,38,19,13,93,10,0.234375,Publisher,simple,fast,60,low,0
9,object_tracker,attractive_vector,24,0,0,0,0,36,27,6,104,10,0.234375,Publisher,simple,fast,60,low,0
10,ai_detector,out_detection_2d,2928,0,0,0,0,49,19,22,118,10,28.5937,Publisher,simple,fast,60,low,0
11,camera,camera_info,376,0,0,0,0,55,23,10,136,25,9.17973,Publisher,simple,fast,60,low,0
12,camera,rgb_image,921600,0,0,0,0,136,54,70,951,25,22500.3,Publisher,simple,fast,60,low,0
13,laser,scan,8728,0,0,0,0,35,14,15,82,10,85.2345,Publisher,simple,fast,60,low,0
14,follower,attractive_vector,24,600,0,0,0,383,196,63,790,10,0.234371,Subscription,simple,fast,60,low,1
15,follower,repulsive_vector,24,600,0,0,0,323,155,92,600,10,0.234373,Subscription,simple,fast,60,low,1
16,obstacle_detector,scan,8728,600,0,0,0,409,177,138,1885,10,85.2351,Subscription,simple,fast,60,low,1
17,object_tracker,out_detection_2d,2928,600,0,0,0,392,160,144,1380,10,28.5936,Subscription,simple,fast,60,low,1
18,ai_detector,camera_info,376,1500,0,0,0,650,287,114,2536,25,9.17995,Subscription,simple,fast,60,low,1
19,ai_detector,rgb_image,921600,1500,0,0,0,213,106,66,1173,25,22500.5,Subscription,simple,fast,60,low,1
20,base_controller,cmd_vel,48,600,0,0,0,467,116,166,909,10,0.468751,Subscription,simple,fast,60,low,1
21,follower,cmd_vel,48,0,0,0,0,195,59,59,397,10,0.468749,Publisher,simple,fast,60,low,1
22,obstacle_detector,repulsive_vector,24,0,0,0,0,109,73,31,260,10,0.234373,Publisher,simple,fast,60,low,1
23,object_tracker,attractive_vector,24,0,0,0,0,158,93,15,712,10,0.234373,Publisher,simple,fast,60,low,1
24,ai_detector,out_detection_2d,2928,0,0,0,0,154,69,49,321,10,28.5935,Publisher,simple,fast,60,low,1
25,camera,camera_info,376,0,0,0,0,173,66,31,726,25,9.17968,Publisher,simple,fast,60,low,1
26,camera,rgb_image,921600,0,0,0,0,61,26,20,326,25,22500.2,Publisher,simple,fast,60,low,1
27,laser,scan,8728,0,0,0,0,166,81,47,625,10,85.2345,Publisher,simple,fast,60,low,1
28,follower,attractive_vector,24,600,3,0,0,270,848,32,14778,10,0.234372,Subscription,simple,fast,60,medium,0
29,follower,repulsive_vector,24,600,1,0,0,286,504,48,7826,10,0.234374,Subscription,simple,fast,60,medium,0
30,obstacle_detector,scan,8728,600,5,0,0,331,721,68,10164,10,85.2338,Subscription,simple,fast,60,medium,0
31,object_tracker,out_detection_2d,2928,600,3,0,0,349,644,87,10271,10,28.5937,Subscription,simple,fast,60,medium,0
32,ai_detector,camera_info,376,1500,7,1,0,320,682,49,11339,25,9.17973,Subscription,simple,fast,60,medium,0
33,ai_detector,rgb_image,921600,1500,12,0,0,701,1063,128,18653,25,22500.6,Subscription,simple,fast,60,medium,0
34,base_controller,cmd_vel,48,600,3,0,0,351,587,94,7343,10,0.46875,Subscription,simple,fast,60,medium,0
35,follower,cmd_vel,48,0,0,0,0,65,61,20,966,10,0.468749,Publisher,simple,fast,60,medium,0
36,obstacle_detector,repulsive_vector,24,0,0,0,0,57,157,10,3331,10,0.234374,Publisher,simple,fast,60,medium,0
37,object_tracker,attractive_vector,24,0,0,0,0,56,237,7,3913,10,0.234374,Publisher,simple,fast,60,medium,0
38,ai_detector,out_detection_2d,2928,0,0,0,0,84,192,24,3736,10,28.5937,Publisher,simple,fast,60,medium,0
39,camera,camera_info,376,0,0,0,0,75,250,11,6204,25,9.17969,Publisher,simple,fast,60,medium,0
40,camera,rgb_image,921600,0,0,0,0,225,286,52,5198,25,22500.2,Publisher,simple,fast,60,medium,0
41,laser,scan,8728,0,0,0,0,63,113,17,2183,10,85.2342,Publisher,simple,fast,60,medium,0
42,follower,attractive_vector,24,600,0,0,0,227,186,43,1187,10,0.234376,Subscription,simple,fast,60,medium,1
43,follower,repulsive_vector,24,600,0,0,0,281,191,90,1439,10,0.234378,Subscription,simple,fast,60,medium,1
44,obstacle_detector,scan,8728,600,0,0,0,295,193,76,1797,10,85.2356,Subscription,simple,fast,60,medium,1
45,object_tracker,out_detection_2d,2928,600,0,0,0,276,172,86,1021,10,28.5941,Subscription,simple,fast,60,medium,1
46,ai_detector,camera_info,376,1500,0,0,0,367,380,60,2982,25,9.18002,Subscription,simple,fast,60,medium,1
47,ai_detector,rgb_image,921600,1500,0,0,0,211,157,45,1725,25,22500.4,Subscription,simple,fast,60,medium,1
48,base_controller,cmd_vel,48,600,0,0,0,322,185,101,1647,10,0.468757,Subscription,simple,fast,60,medium,1
49,follower,cmd_vel,48,0,0,0,0,110,65,36,467,10,0.468752,Publisher,simple,fast,60,medium,1
50,obstacle_detector,repulsive_vector,24,0,0,0,0,92,62,28,457,10,0.234375,Publisher,simple,fast,60,medium,1
51,object_tracker,attractive_vector,24,0,0,0,0,71,66,11,633,10,0.234375,Publisher,simple,fast,60,medium,1
52,ai_detector,out_detection_2d,2928,0,0,0,0,91,58,28,378,10,28.5938,Publisher,simple,fast,60,medium,1
53,camera,camera_info,376,0,0,0,0,93,70,18,644,25,9.17973,Publisher,simple,fast,60,medium,1
54,camera,rgb_image,921600,0,0,0,0,66,54,12,1028,25,22500.2,Publisher,simple,fast,60,medium,1
55,laser,scan,8728,0,0,0,0,96,66,24,581,10,85.2345,Publisher,simple,fast,60,medium,1
56,follower,attractive_vector,24,601,69,0,0,1556,3479,52,44460,10,0.234556,Subscription,simple,fast,60,high,0
57,follower,repulsive_vector,24,601,55,0,0,1427,3216,68,48863,10,0.234621,Subscription,simple,fast,60,high,0
58,obstacle_detector,scan,8728,598,76,0,0,1692,3450,92,27875,10,84.9608,Subscription,simple,fast,60,high,0
